------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001 with pid 176129
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 35030 connected with 10.0.2.22 port 5001 (ct=41.04 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 15.8400-16.0200 sec   255 KBytes  11.6 Mbits/sec  3/0          2       41K/32306 us  44.82
[  3] 16.0200-16.2000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       48K/38375 us  37.73
[  3] 16.2000-16.3800 sec   127 KBytes  5.79 Mbits/sec  1/0          0       53K/43681 us  16.57
[  3] 16.3800-16.5600 sec   191 KBytes  8.69 Mbits/sec  2/0          0       56K/46157 us  23.53
[  3] 16.5600-16.7400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       62K/51995 us  27.85
[  3] 16.7400-16.9200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       67K/56027 us  19.38
[  3] 16.9200-17.1000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       72K/59472 us  24.35
[  3] 17.1000-17.2800 sec   255 KBytes  11.6 Mbits/sec  2/0          2       41K/31896 us  45.40
[  3] 17.2800-17.4600 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0       48K/38858 us  9.32
[  3] 17.4600-17.6400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       50K/41345 us  35.02
[  3] 17.6400-17.8200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       56K/46580 us  23.31
[  3] 17.8200-18.0000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       62K/51761 us  27.97
[  3] 18.0000-18.1800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       67K/55080 us  19.72
[  3] 18.1800-18.3600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       72K/59764 us  24.23
[  3] 18.3600-18.5400 sec   127 KBytes  5.79 Mbits/sec  1/0          2       52K/62347 us  11.61
[  3] 18.5400-18.7200 sec   255 KBytes  11.6 Mbits/sec  3/0          0       39K/32285 us  44.85
[  3] 18.7200-18.9000 sec   191 KBytes  8.69 Mbits/sec  2/0          0       46K/37738 us  28.78
[  3] 18.9000-19.0800 sec   255 KBytes  11.6 Mbits/sec  2/0          0       53K/43414 us  33.35
[  3] 19.0800-19.2600 sec   191 KBytes  8.69 Mbits/sec  2/0          0       59K/48210 us  22.53
[  3] 19.2600-19.4400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       63K/52209 us  27.73
[  3] 19.4400-19.6200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       69K/56759 us  19.13
[  3] 19.6200-19.8000 sec   127 KBytes  5.79 Mbits/sec  1/0          2       57K/61150 us  11.84
[  3] 19.8000-19.9800 sec   255 KBytes  11.6 Mbits/sec  2/0          0       36K/31475 us  46.00
[  3] 19.9800-20.1600 sec   191 KBytes  8.69 Mbits/sec  2/0          0       45K/37288 us  29.12
[  3] 20.1600-20.3400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       52K/42757 us  33.87
[  3] 20.3400-20.5200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       57K/47287 us  30.62
[  3] 20.5200-20.7000 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0       63K/52459 us  6.90
[  3] 20.7000-20.8800 sec   255 KBytes  11.6 Mbits/sec  2/0          0       66K/54537 us  26.55
[  3] 20.8800-21.0600 sec   191 KBytes  8.69 Mbits/sec  2/0          0       70K/58684 us  18.51
[  3] 21.0600-21.2400 sec   255 KBytes  11.6 Mbits/sec  2/0          2       62K/60978 us  23.75
[  3] 21.2400-21.4200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       42K/32220 us  44.94
[  3] 21.4200-21.6000 sec   191 KBytes  8.69 Mbits/sec  2/0          0       49K/39837 us  27.26
[  3] 21.6000-21.7800 sec   127 KBytes  5.79 Mbits/sec  1/0          0       55K/44942 us  16.11
[  3] 21.7800-21.9600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       57K/47685 us  30.37
[  3] 21.9600-22.1400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       63K/52144 us  20.83
[  3] 22.1400-22.3200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       67K/56750 us  25.52
[  3] 22.3200-22.5000 sec   191 KBytes  8.69 Mbits/sec  2/0          0       73K/60218 us  18.03
[  3] 22.5000-22.6800 sec   191 KBytes  8.69 Mbits/sec  2/0          2       36K/62140 us  17.48
[  3] 22.6800-22.8600 sec   318 KBytes  14.5 Mbits/sec  3/0          0       41K/32181 us  56.24
