1651141185.536109, 	 reno wscale:8,9 rto:368 rtt:167.168/9.843 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:185 ssthresh:194 bytes_sent:1511712 bytes_retrans:296840 bytes_acked:738481 segs_out:1046 segs_in:257 data_segs_out:1044 send 12.8Mbps lastrcv:820 pacing_rate 27.3Mbps delivery_rate 5.8Mbps delivered:655 busy:816ms unacked:329 retrans:112/205 lost:112 sacked:144 rcv_space:14480 rcv_ssthresh:42242 notsent:2612192 minrtt:20.501
1651141185.567067, 	 reno wscale:8,9 rto:368 rtt:167.168/9.843 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:176 ssthresh:194 bytes_sent:1550808 bytes_retrans:309872 bytes_acked:738481 segs_out:1073 segs_in:272 data_segs_out:1071 send 12.2Mbps lastsnd:4 lastrcv:856 lastack:4 pacing_rate 28.7Mbps delivery_rate 5.4Mbps delivered:682 busy:852ms unacked:347 retrans:85/214 lost:85 sacked:171 rcv_space:14480 rcv_ssthresh:42242 notsent:2586128 minrtt:20.501
1651141185.599375, 	 reno wscale:8,9 rto:344 rtt:141.196/9.985 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:111 ssthresh:194 bytes_sent:1581216 bytes_retrans:337384 bytes_acked:738481 segs_out:1094 segs_in:286 data_segs_out:1092 send 9.1Mbps lastrcv:880 pacing_rate 34.4Mbps delivery_rate 6.1Mbps delivered:703 busy:876ms unacked:349 retrans:37/233 lost:83 sacked:192 rcv_space:14480 rcv_ssthresh:42242 notsent:2648392 minrtt:20.501
1651141185.627891, 	 reno wscale:8,9 rto:336 rtt:134.918/2.282 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:110 ssthresh:194 bytes_sent:1613072 bytes_retrans:369240 bytes_acked:738481 segs_out:1116 segs_in:301 data_segs_out:1114 send 9.4Mbps lastsnd:4 lastrcv:908 lastack:4 pacing_rate 36.0Mbps delivery_rate 7.0Mbps delivered:725 busy:904ms unacked:349 retrans:59/255 lost:84 sacked:214 rcv_space:14480 rcv_ssthresh:42242 notsent:2648392 minrtt:20.501
1651141185.652197, 	 reno wscale:8,9 rto:328 rtt:127.978/1.925 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:108 ssthresh:194 bytes_sent:1660856 bytes_retrans:417024 bytes_acked:799297 segs_out:1149 segs_in:321 data_segs_out:1147 send 9.8Mbps lastrcv:936 pacing_rate 33.3Mbps delivery_rate 8.0Mbps delivered:751 busy:932ms unacked:307 retrans:85/288 lost:86 sacked:198 rcv_space:14480 rcv_ssthresh:42242 notsent:2648392 minrtt:20.501
1651141185.686775, 	 reno wscale:8,9 rto:312 rtt:110.42/4.157 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:109 ssthresh:194 bytes_sent:1715880 bytes_retrans:435848 bytes_acked:932513 segs_out:1187 segs_in:342 data_segs_out:1185 send 11.4Mbps lastrcv:968 pacing_rate 29.8Mbps delivery_rate 7.7Mbps delivered:776 busy:964ms unacked:240 retrans:84/301 lost:84 sacked:131 rcv_space:14480 rcv_ssthresh:42242 notsent:2872832 minrtt:20.501
1651141185.712826, 	 reno wscale:8,9 rto:312 rtt:108.083/0.604 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:124 ssthresh:194 bytes_sent:1769456 bytes_retrans:435848 bytes_acked:999121 segs_out:1224 segs_in:357 data_segs_out:1222 send 13.3Mbps lastrcv:996 pacing_rate 29.5Mbps delivery_rate 7.7Mbps delivered:798 busy:992ms unacked:231 retrans:62/301 lost:62 sacked:107 rcv_space:14480 rcv_ssthresh:42242 notsent:2819256 minrtt:20.501
1651141185.740170, 	 reno wscale:8,9 rto:308 rtt:107.995/0.268 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:129 ssthresh:194 bytes_sent:1823032 bytes_retrans:443088 bytes_acked:1033873 segs_out:1261 segs_in:381 data_segs_out:1259 send 13.8Mbps lastrcv:1028 pacing_rate 30.5Mbps delivery_rate 7.4Mbps delivered:825 busy:1024ms unacked:239 retrans:35/306 lost:35 sacked:110 rcv_space:14480 rcv_ssthresh:42242 notsent:2772920 minrtt:20.501
1651141185.772330, 	 reno wscale:8,9 rto:308 rtt:106.683/0.549 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:115 ssthresh:194 bytes_sent:1859232 bytes_retrans:461912 bytes_acked:1033873 segs_out:1286 segs_in:402 data_segs_out:1284 send 12.5Mbps lastrcv:1056 pacing_rate 32.7Mbps delivery_rate 9.0Mbps delivered:850 busy:1052ms unacked:251 retrans:22/319 lost:23 sacked:135 rcv_space:14480 rcv_ssthresh:42242 notsent:2755544 minrtt:20.501
1651141185.804125, 	 reno wscale:8,9 rto:308 rtt:105.82/1.757 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:108 ssthresh:194 bytes_sent:1896880 bytes_retrans:473496 bytes_acked:1033873 segs_out:1312 segs_in:417 data_segs_out:1310 send 11.8Mbps lastrcv:1088 pacing_rate 35.2Mbps delivery_rate 9.7Mbps delivered:876 busy:1084ms unacked:269 retrans:26/327 lost:26 sacked:161 rcv_space:14480 rcv_ssthresh:42242 notsent:2859800 minrtt:20.501
